"id","name_CN","name_EN","level","function_name","description","example","repairPlan"
"15","SMTP标头操纵","Header Manipulation: SMTP","中危",,"SMTP标头操纵漏洞发生在应用程序将用户输入直接拼接到SMTP标头中时，攻击者可以通过注入恶意标头来操纵电子邮件的内容或行为。","import javax.mail.*;
import javax.mail.internet.*;

public class SMTPHeaderManipulationExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        try {
            Message message = new MimeMessage(Session.getDefaultInstance(System.getProperties()));
            message.setFrom(new InternetAddress(""from@example.com""));
            message.setRecipients(Message.RecipientType.TO, InternetAddress.parse(""to@example.com""));
            message.setSubject(""Subject"");
            message.setText(""Body"");

            // 直接拼接用户输入到标头
            message.setHeader(""X-Header"", userInput);

            Transport.send(message);
        } catch (MessagingException e) {
            e.printStackTrace();
        }
    }
}","1.对用户输入进行严格的验证和过滤。
2.使用安全的API或库来构建SMTP标头。
3.移除或转义换行符等特殊字符。"
"16","日志伪造(调试)","Log Forging (debug)","低危",,"日志伪造漏洞发生在应用程序将用户输入直接记录到日志中时，攻击者可以通过注入恶意内容来伪造日志条目，可能导致日志分析工具失效或掩盖攻击痕迹。","import java.util.logging.Logger;

public class LogForgingExample {
    private static final Logger logger = Logger.getLogger(LogForgingExample.class.getName());

    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        logger.info(""User input: "" + userInput); // 直接记录用户输入
    }
}","1.对日志内容进行严格的输入验证。
2.移除或转义换行符等特殊字符。
3.使用日志框架提供的安全方法。"
"17","XSLT 注入","XSLT Injection","高危",,"XSLT 注入发生在攻击者能够控制 XSLT 样式表的内容，从而执行恶意操作，如读取敏感文件或执行系统命令。","import javax.xml.transform.*;
import javax.xml.transform.stream.*;

public class XSLTInjectionExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        try {
            TransformerFactory factory = TransformerFactory.newInstance();
            Source xslt = new StreamSource(new StringReader(""<xsl:stylesheet version=\""1.0\"" xmlns:xsl=\""http://www.w3.org/1999/XSL/Transform\"">"" +
                    ""<xsl:template match=\""/\"">"" +
                    ""<xsl:value-of select=\"""" + userInput + ""\""/>"" + // 直接拼接用户输入
                    ""</xsl:template>"" +
                    ""</xsl:stylesheet>""));
            Transformer transformer = factory.newTransformer(xslt);
            transformer.transform(new StreamSource(new StringReader(""<root/>"")), new StreamResult(System.out));
        } catch (TransformerException e) {
            e.printStackTrace();
        }
    }
}","1.避免使用用户输入直接构建 XSLT 样式表。
2.使用安全的 XML 解析器，并禁用外部实体解析。
3.对用户输入进行严格的验证和过滤。"
"18","拒绝服务：StringBuilder","Denial of Service: StringBuilder","低危",,"当攻击者能够控制 StringBuilder 的输入，并构造一个非常大的字符串时，可能导致内存耗尽，从而引发拒绝服务。","public class StringBuilderDoSExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < Integer.MAX_VALUE; i++) {
            sb.append(userInput); // 不断追加用户输入，可能导致内存耗尽
        }
        System.out.println(sb.toString());
    }
}","1.限制用户输入的字符串长度。
2.使用 String 或 StringBuffer 代替 StringBuilder，并设置合理的长度限制。"
"19","拒绝服务","Denial of Service","高危","detect_dos","拒绝服务攻击是指攻击者通过消耗目标系统的资源（如CPU、内存、带宽等），使系统无法正常提供服务，导致合法用户无法访问。常见的拒绝服务攻击方式包括：
资源耗尽：通过大量请求或恶意输入消耗系统资源。
逻辑缺陷：利用程序中的逻辑漏洞（如死循环、低效算法）导致系统崩溃或性能下降。
协议攻击：利用网络协议漏洞（如SYN Flood）使服务不可用。","public class DoSExample {
    public static void main(String[] args) {
        int userInput = Integer.parseInt(args[0]); // 用户输入
        for (int i = 0; i < userInput; i++) {
            // 无限循环或资源耗尽
        }
    }
}"," 1. 资源限制：
   对用户输入进行限制（如文件大小、请求频率）。
   使用资源配额机制（如限制每个用户的磁盘空间或内存使用）。
2. 逻辑缺陷修复：
   避免使用死循环或低效算法。
   设置超时机制，防止长时间运行的任务占用资源。
3. 正则表达式优化：
   避免使用复杂的、嵌套的正则表达式。
   对用户输入进行长度限制。
4. 协议攻击防护：
   使用防火墙或入侵检测系统（IDS）过滤恶意流量。
   启用SYN Cookie机制防止SYN Flood攻击。
5. 负载均衡和弹性扩展：
   使用负载均衡器分散流量。
   在云环境中启用自动扩展功能，以应对流量激增。
6. 输入验证和过滤：
   对用户输入进行严格的验证和过滤，防止恶意输入导致资源耗尽。
7. 监控和告警：
   实时监控系统资源使用情况（如CPU、内存、带宽）。
   设置告警机制，及时发现异常流量或资源消耗。"
"20","XQuery注入","XQuery Injection","高危","Xquery_Injection","XQuery 注入发生在攻击者能够控制 XQuery 查询的内容，从而执行恶意操作，如读取或修改数据库中的数据。","import javax.xml.xquery.*;

public class XQueryInjectionExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        try {
            XQConnection conn = XQDataSourceFactory.newInstance().getConnection();
            String query = ""for $x in doc('users.xml')/users/user where $x/username = '"" + userInput + ""' return $x""; // 直接拼接用户输入
            XQPreparedExpression expr = conn.prepareExpression(query);
            XQResultSequence result = expr.executeQuery();

            while (result.next()) {
                System.out.println(result.getItemAsString(null));
            }
        } catch (XQException e) {
            e.printStackTrace();
        }
    }
}","1. 使用参数化查询（Prepared Statements）
2. 对用户输入进行严格的验证和过滤
3. 使用安全的XQuery库或框架"
"21","表达式语言注入：Spring","Expression Language Injection: Spring","高危",,"表达式语言注入（Expression Language Injection, EL Injection）发生在应用程序将用户输入直接嵌入到Spring表达式语言（SpEL）中，而没有进行适当的验证或转义。攻击者可以通过构造恶意输入来执行任意代码或访问敏感数据。","import org.springframework.expression.Expression;
import org.springframework.expression.ExpressionParser;
import org.springframework.expression.spel.standard.SpelExpressionParser;

public class SpELInjectionExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        ExpressionParser parser = new SpelExpressionParser();
        Expression exp = parser.parseExpression(userInput); // 直接解析用户输入
        Object value = exp.getValue();
        System.out.println(""Result: "" + value);
    }
}","1.避免直接解析用户输入：不要将用户输入直接传递给SpEL解析器。
2.使用安全的表达式：限制表达式的功能，仅允许安全的操作。
3.输入验证：对用户输入进行严格的验证，确保其符合预期格式。"
"22","XML实体扩展注入","XML Entity Expansion Injection","高危",,"XML实体扩展注入（XML External Entity Injection, XXE）发生在应用程序解析XML时，未禁用外部实体解析。攻击者可以通过构造恶意XML文件来读取服务器上的任意文件或发起SSRF攻击。","import javax.xml.parsers.DocumentBuilder;
import javax.xml.parsers.DocumentBuilderFactory;
import org.w3c.dom.Document;
import java.io.ByteArrayInputStream;

public class XXEExample {
    public static void main(String[] args) throws Exception {
        String xml = ""<?xml version=\""1.0\""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM \""file:///etc/passwd\"">]><foo>&xxe;</foo>"";
        DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
        DocumentBuilder builder = factory.newDocumentBuilder();
        Document doc = builder.parse(new ByteArrayInputStream(xml.getBytes())); // 解析XML
        System.out.println(doc.getDocumentElement().getTextContent());
    }
}","1.禁用外部实体解析：在解析XML时，禁用外部实体解析。
2.使用安全的XML解析器：如SAX或StAX，并确保其配置正确。"
"23","Spring Beans 注入","Spring Beans Injection","高危",,"Spring Beans注入发生在应用程序将用户输入直接用于动态加载或配置Spring Bean时，攻击者可以通过构造恶意输入来加载恶意类或执行任意代码。","import org.springframework.context.support.ClassPathXmlApplicationContext;

public class SpringBeanInjectionExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        ClassPathXmlApplicationContext context = new ClassPathXmlApplicationContext(userInput); // 动态加载Bean配置文件
        Object bean = context.getBean(""myBean"");
        System.out.println(bean);
    }
}","1.避免动态加载用户输入的配置文件：仅加载受信任的配置文件。
2.输入验证：对用户输入进行严格的验证，确保其符合预期格式。"
"24","OGNL表达式注入：Struts 2","OGNL Expression Injection: Struts 2","高危",,"OGNL（Object-Graph Navigation Language）表达式注入发生在Struts 2框架中，攻击者可以通过构造恶意输入来执行任意OGNL表达式，从而导致远程代码执行。","import com.opensymphony.xwork2.ActionSupport;

public class OGNLInjectionAction extends ActionSupport {
    private String userInput;

    public String execute() {
        // 用户输入直接用于OGNL表达式
        return SUCCESS;
    }

    public void setUserInput(String userInput) {
        this.userInput = userInput;
    }
}","1.升级Struts 2版本：使用最新版本的Struts 2，修复已知的OGNL注入漏洞。
2.禁用动态方法调用：在struts.xml中配置struts.enable.DynamicMethodInvocation=false。
3.输入验证：对用户输入进行严格的验证。"
"25","OGNL表达式注入：动态方法调用","OGNL Expression Injection: Dynamic Method Invocation","高危",,"动态方法调用是Struts 2框架的一个特性，允许通过URL参数调用Action中的方法。如果未禁用此功能，攻击者可以通过构造恶意URL调用任意方法，甚至执行任意代码。","import com.opensymphony.xwork2.ActionSupport;

public class DynamicMethodCallAction extends ActionSupport {
    private String userInput;

    public String execute() {
        // 默认执行的方法
        return SUCCESS;
    }

    public String admin() {
        // 管理员方法
        return ""admin"";
    }

    public void setUserInput(String userInput) {
        this.userInput = userInput;
    }
}","1.禁用动态方法调用：在struts.xml中配置struts.enable.DynamicMethodInvocation=false。
2.限制可调用的方法：使用@AllowedMethods注解明确指定允许调用的方法。"
"26","OGNL表达式注入：双重计算","OGNL Expression Injection: Double Evaluation","高危",,"双重计算漏洞发生在OGNL表达式被多次解析时。攻击者可以通过构造恶意输入，在第二次解析时执行任意代码。这种漏洞通常出现在Struts 2框架中，当用户输入被多次解析为OGNL表达式时。","import com.opensymphony.xwork2.ActionSupport;
import ognl.Ognl;
import ognl.OgnlContext;
import ognl.OgnlException;

public class DoubleEvaluationAction extends ActionSupport {
    private String userInput;

    public String execute() {
        try {
            OgnlContext context = new OgnlContext();
            // 第一次解析
            Object value1 = Ognl.getValue(userInput, context, context.getRoot());
            System.out.println(""First evaluation: "" + value1);

            // 第二次解析（双重计算）
            Object value2 = Ognl.getValue(userInput, context, context.getRoot());
            System.out.println(""Second evaluation: "" + value2);
        } catch (OgnlException e) {
            e.printStackTrace();
        }
        return SUCCESS;
    }

    public void setUserInput(String userInput) {
        this.userInput = userInput;
    }
}","1.避免双重计算：确保用户输入仅被解析一次。
2.使用安全的OGNL解析方式：避免直接解析用户输入。
3.升级Struts 2版本：使用最新版本的Struts 2，修复已知的OGNL注入漏洞。"
"27","OGNL表达式注入","OGNL Expression Injection","高危","OGNL_expression_injection","OGNL（Object-Graph Navigation Language）表达式注入发生在应用程序将用户输入直接嵌入到OGNL表达式中，而没有进行适当的验证或转义。攻击者可以通过构造恶意输入来执行任意代码或访问敏感数据。","import com.opensymphony.xwork2.ActionSupport;
import ognl.Ognl;
import ognl.OgnlContext;
import ognl.OgnlException;

public class OGNLInjectionAction extends ActionSupport {
    private String userInput;

    public String execute() {
        try {
            OgnlContext context = new OgnlContext();
            // 直接解析用户输入
            Object value = Ognl.getValue(userInput, context, context.getRoot());
            System.out.println(""Result: "" + value);
        } catch (OgnlException e) {
            e.printStackTrace();
        }
        return SUCCESS;
    }

    public void setUserInput(String userInput) {
        this.userInput = userInput;
    }
}","1.避免直接解析用户输入：不要将用户输入直接传递给OGNL解析器。
2.输入验证：对用户输入进行严格的验证，确保其符合预期格式。
3.升级Struts 2版本：使用最新版本的Struts 2，修复已知的OGNL注入漏洞。"
"28","JSON注入","JSON Injection","高危","JSON_Injection","JSON注入发生在应用程序将用户输入直接嵌入到JSON字符串中，而没有进行适当的转义或验证。攻击者可以通过构造恶意输入来篡改JSON结构或注入恶意代码。","import com.fasterxml.jackson.databind.ObjectMapper;

public class JSONInjectionExample {
    public static void main(String[] args) throws Exception {
        String userInput = args[0]; // 用户输入
        String json = ""{\""name\"":\"""" + userInput + ""\""}""; // 直接拼接用户输入
        ObjectMapper mapper = new ObjectMapper();
        Object obj = mapper.readValue(json, Object.class);
        System.out.println(obj);
    }
}","1.使用安全的JSON库：如Jackson或Gson，自动处理转义。
2.输入验证：对用户输入进行严格的验证，确保其符合预期格式。"
"29","HTTP参数污染","HTTP Parameter Pollution","中危","detect_hpp","HTTP参数污染发生在应用程序未正确处理多个同名HTTP参数时，攻击者可以通过提交多个同名参数来篡改应用程序逻辑。","import javax.servlet.http.HttpServlet;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;
import java.io.IOException;

public class HTTPParameterPollutionExample extends HttpServlet {
    protected void doGet(HttpServletRequest req, HttpServletResponse resp) throws IOException {
        String param = req.getParameter(""param""); // 只获取第一个参数值
        resp.getWriter().write(""Parameter value: "" + param);
    }
}","1.正确处理多个同名参数：使用getParameterValues获取所有参数值。
2.输入验证：对参数值进行严格的验证。"
"30","Cookies安全：不通过SSL发送cookie","Cookie Security: Cookie not Sent Over SSL","中危","detect_not_sent_by_ssl","如果Cookie未设置Secure标志，则可以通过非HTTPS连接传输，攻击者可以通过窃听网络流量来窃取Cookie。","import javax.servlet.http.Cookie;
import javax.servlet.http.HttpServletResponse;

public class CookieInsecureExample {
    public static void main(String[] args) {
        HttpServletResponse response = ...; // 获取HttpServletResponse
        Cookie cookie = new Cookie(""sessionId"", ""12345"");
        response.addCookie(cookie); // 未设置Secure标志
    }
}","1.设置Secure标志：确保Cookie仅通过HTTPS传输。"
"31","Cookies安全：HTTPOnly没有设置","Cookie Security: HTTPOnly not Set","中危","detect_httponly_not_set","如果Cookie未设置HttpOnly标志，则可以通过客户端脚本（如JavaScript）访问，攻击者可以通过XSS攻击窃取Cookie。","import javax.servlet.http.Cookie;
import javax.servlet.http.HttpServletResponse;

public class CookieNotHttpOnlyExample {
    public static void main(String[] args) {
        HttpServletResponse response = ...; // 获取HttpServletResponse
        Cookie cookie = new Cookie(""sessionId"", ""12345"");
        response.addCookie(cookie); // 未设置HttpOnly标志
    }
}","1.设置HttpOnly标志：防止客户端脚本访问Cookie。"
"32","Bean操纵","Bean Manipulation","高危",,"Bean操纵发生在应用程序将用户输入直接绑定到Java Bean属性时，攻击者可以通过构造恶意输入来操纵Bean属性，从而导致数据篡改或逻辑绕过。","public class UserBean {
    private String username;
    private boolean isAdmin;

    public String getUsername() {
        return username;
    }

    public void setUsername(String username) {
        this.username = username;
    }

    public boolean isAdmin() {
        return isAdmin;
    }

    public void setAdmin(boolean isAdmin) {
        this.isAdmin = isAdmin;
    }
}

public class BeanManipulationExample {
    public static void main(String[] args) {
        UserBean user = new UserBean();
        // 模拟用户输入
        String userInput = ""username=admin&isAdmin=true"";
        String[] pairs = userInput.split(""&"");
        for (String pair : pairs) {
            String[] keyValue = pair.split(""="");
            String key = keyValue[0];
            String value = keyValue[1];
            // 直接绑定用户输入到Bean属性
            if (key.equals(""username"")) {
                user.setUsername(value);
            } else if (key.equals(""isAdmin"")) {
                user.setAdmin(Boolean.parseBoolean(value));
            }
        }
        System.out.println(""Username: "" + user.getUsername() + "", isAdmin: "" + user.isAdmin());
    }
}","1.使用白名单验证：仅允许绑定特定的安全属性。
2.使用安全的绑定框架：如Spring的DataBinder，并配置允许绑定的属性。"
"33","资源注入","Resource Injection","高危",,"资源注入发生在应用程序将用户输入直接用于访问系统资源（如文件、数据库连接等）时，攻击者可以通过构造恶意输入来访问或篡改敏感资源。","import java.io.File;
import java.io.FileInputStream;
import java.io.IOException;

public class ResourceInjectionExample {
    public static void main(String[] args) throws IOException {
        String userInput = args[0]; // 用户输入
        File file = new File(userInput); // 直接使用用户输入访问文件
        FileInputStream fis = new FileInputStream(file);
        byte[] data = new byte[(int) file.length()];
        fis.read(data);
        fis.close();
        System.out.println(new String(data));
    }
}","1.输入验证：对用户输入进行严格的验证，确保其符合预期格式。
2.使用安全的资源访问方式：如将资源路径存储在配置文件中，而不是直接使用用户输入。"
