漏洞ID,漏洞名称,漏洞等级,漏洞描述,代码示例,修复方案
cwe306,关键功能的认证机制缺失,高危,软件不对需要证明的用户身份或消耗大量资源的功能执行任何身份验证。,"在下面的 Java 示例中，方法 createBankAccount 用于为银行管理应用程序创建 BankAccount 对象。（有问题的代码）
public BankAccount createBankAccount(String accountNumber, String accountType,
String accountName, String accountSSN, double balance) {
BankAccount account = new BankAccount();
account.setAccountNumber(accountNumber);
account.setAccountType(accountType);
account.setAccountOwnerName(accountName);
account.setAccountOwnerSSN(accountSSN);
account.setBalance(balance);
return account;
}
但是，没有身份验证机制来确保创建此银行帐户对象的用户有权创建新的银行帐户。应使用某些身份验证机制来验证用户是否有权创建银行帐户对象。

以下 Java 代码包含用于对用户进行身份验证的布尔变量和方法。如果用户尚未通过身份验证，则创建银行帐户将不会创建银行帐户对象。（没有问题的代码）
private boolean isUserAuthentic = false;
// authenticate user,
// if user is authenticated then set variable to true
// otherwise set variable to false
public boolean authenticateUser(String username, String password) {
...
}
public BankAccount createNewBankAccount(String accountNumber, String accountType,
String accountName, String accountSSN, double balance) {
BankAccount account = null;
if (isUserAuthentic) {
account = new BankAccount();
account.setAccountNumber(accountNumber);
account.setAccountType(accountType);
account.setAccountOwnerName(accountName);
account.setAccountOwnerSSN(accountSSN);
account.setBalance(balance);
}
return account;
}","1.将软件划分为匿名、普通、特权和管理区域。确定哪些区域需要经过验证的用户身份，并使用集中式身份验证功能。识别所有潜在的通信通道或与软件交互的其他方式，以确保所有通道都得到适当的保护。开发人员有时会在主通道上执行身份验证，但会打开假定为专用的辅助通道。例如，登录机制可能侦听一个网络端口，但在身份验证成功后，它可能会打开第二个端口，在其中等待连接，但会避免身份验证，因为它假定只有经过身份验证的参与方才会连接到该端口。通常，如果软件或协议允许单个会话或用户状态在多个连接或通道中持久存在，则需要在整个过程中使用身份验证和适当的凭据管理。
2.对于在客户端执行的任何安全检查，请确保在服务器端重复这些检查。攻击者可以通过在执行检查后修改值或更改客户端以完全删除客户端检查来绕过客户端检查。然后，这些修改后的值将提交到服务器。
3.请避免实现自定义身份验证例程，并考虑使用周围框架、操作系统或环境提供的身份验证功能。这样可以更轻松地在身份验证任务和授权任务之间提供明确的分离。在万维网等环境中，身份验证和授权之间的界限有时模糊不清。如果需要自定义身份验证例程而不是服务器提供的例程，则必须将这些例程应用于每个页面，因为可以直接请求这些页面。
4.使用不允许发生此弱点的经过审查的库或框架，或者提供使此弱点更容易避免的构造。"
cwe190,整数溢出或回绕,中危,当逻辑假定结果值将始终大于原始值时，软件执行可以生成整数溢出或环绕的计算。当计算用于资源管理或执行控制时，这可能会引入其他弱点。当整数值递增到太大而无法存储在关联表示中的值时，会发生整数溢出或换行。发生这种情况时，该值可能会换行为非常小或负数。虽然在依赖于包装的情况下，这可能是预期的行为，但如果包装是意外的，则可能会产生安全后果。如果可以使用用户提供的输入触发整数溢出，则尤其如此。当结果用于控制循环、做出安全决策或确定内存分配、复制、串联等行为中的偏移量或大小时，这就变得安全至关重要。,"以下图像处理代码为图像分配一个表。
img_t table_ptr; /struct containing img data, 10kB each/
int num_imgs;
...
num_imgs = get_num_imgs();
table_ptr = (img_t)malloc(sizeof(img_t)num_imgs);
...
此代码打算分配一个num_imgs大小的表，但是随着num_imgs越来越大，确定列表大小的计算最终将溢出 （CWE-190）。这将导致要分配的列表非常小，如果后续代码在列表上运行，会认为列表和num_imgs一样长，则可能会导致许多类型的越界问题 （CWE-119）。","1.确保严格定义所有协议，以便可以简单地识别所有越界行为，并要求严格遵守协议。
2.使用语言不允许发生此弱点，或提供使此弱点更容易避免的构造，选择执行自动边界检查的语言或编译器。
3.使用不允许发生此弱点的经过审查的库或框架，或者提供使此弱点更容易避免的构造。使用库或框架，可以更轻松地处理数字，而不会产生意外后果。示例包括安全整数处理包，如 SafeInt （C++） 或 IntegerLib （C 或 C++）。
4.通过确保任何数字输入在预期范围内，对任何数字输入执行输入验证。强制输入同时满足预期范围的最低和最高要求。尽可能使用无符号整数。这样可以更轻松地对整数溢出执行健全性检查。当需要有符号整数时，请确保范围检查包括最小值和最大值。"
cwe502,不受信任的数据的反序列化,中危,"应用程序在不充分验证生成的数据是否有效的情况下反序列化不受信任的数据。
序列化对象以进行通信或保存它们以供以后使用通常很方便。但是，如果反序列化的数据或代码不使用加密来保护自身，则通常可以在不使用提供的访问器函数的情况下对其进行修改。此外，任何加密仍然是客户端安全性 - 这是一个危险的安全假设。
不受信任的数据不能被信任为格式良好。
当开发人员对“小工具链”或一系列可以在反序列化过程中（即在对象返回给调用方之前）自我执行的实例和方法调用没有限制时，攻击者有时可能会利用它们来执行未经授权的操作，例如生成shell。","此代码段从文件中反序列化对象，并将其用作 UI 按钮：
try {
File file = new File(""object.obj"");
ObjectInputStream in = new ObjectInputStream(new FileInputStream(file));
javax.swing.JButton button = (javax.swing.JButton) in.readObject();
in.close();
}
此代码在反序列化文件之前不会尝试验证文件的源或内容。攻击者可能能够将预期的文件替换为包含任意恶意代码的文件，该代码将在按下按钮时执行。

要缓解此问题，请显式定义 final readObject（） 以防止反序列化。这方面的一个例子是：
private final void readObject(ObjectInputStream in) throws java.io.IOException {
throw new java.io.IOException(""Cannot be deserialized""); }","1.请使用编程语言的签名/密封功能来确保反序列化的数据未被污染。例如，基于哈希的消息身份验证代码 （HMAC） 可用于确保数据未被修改。
2.反序列化数据时，请填充新对象，而不仅仅是反序列化。结果是数据流经安全输入验证，并且函数是安全的。
3.显式定义最终对象（）以防止反序列化。
4.使字段瞬态化以保护它们免受反序列化。尝试序列化然后反序列化包含瞬态字段的类将导致 NUL 位于瞬态数据应位于的位置。这是防止时间、基于环境或敏感的变量被过度传递和使用不当的绝佳方法。
5.避免使用不必要的类型或小工具，这些类型或小工具可用于恶意目的。这限制了攻击者利用意外或未经授权的类型和小工具的可能性。将可接受的类列入白名单。"
cwe287,对超出界限的内存访问限制不当,高危,身份验证不正确,2009 年 1 月，攻击者能够获得管理员对 Twitter 服务器的访问权限，因为该服务器没有限制登录尝试的次数。攻击者以Twitter支持团队的一名成员为目标，并能够使用具有大量常用词的蛮力成功猜出该成员的密码。在作为支持人员成员获得访问权限后，攻击者使用管理员面板访问属于名人和政客的33个帐户。最终，发送了虚假的Twitter消息，这些消息似乎来自受感染的帐户。,使用身份验证框架或库，如 OWASP ESAPI 身份验证功能。
cwe476,空指针解引用,中危,如果一个指针变量的值为NULL，解引用这个指针时，会导致程序崩溃,"此示例从用户处获取 IP 地址，验证其格式是否正确，然后查找主机名并将其复制到缓冲区中。（C）
void host_lookup(char user_supplied_addr){
struct hostent hp;
in_addr_t addr;
char hostname[64];
in_addr_t inet_addr(const char cp);

/routine that ensures user_supplied_addr is in the right format for conversion /

validate_addr_form(user_supplied_addr);
addr = inet_addr(user_supplied_addr);
hp = gethostbyaddr( addr, sizeof(struct in_addr), AF_INET);
strcpy(hostname, hp->h_name);
}
如果攻击者提供的地址看起来格式正确，但该地址未解析为主机名，则对 gethostbyaddr（） 的调用将返回 NULL。由于代码不检查来自 gethostbyaddr （CWE-252） 的返回值，因此在对 strcpy（） 的调用中将发生 NULL 指针取消引用。",基本思路是在解引用指针前，先判断是否为NULL，如果是NULL则不要解引用。但是C语言程序中，指针的使用非常多，在每次解引用之前都做判断是非常低效、不可行的。通常只在解引用没有把握的指针前，先做判断。比如其它模块传入的函数参数、函数返回值，特别的要注意判断malloc()、calloc()的返回值，防止在内存分配失败时，仍然解引用指针。
cwe798,使用硬编码凭据,高危,"软件包含硬编码的凭据，例如密码或加密密钥，它将其用于自己的入站身份验证，与外部组件的出站通信或内部数据加密。
硬编码的凭据通常会创建一个重要漏洞，使攻击者能够绕过软件管理员配置的身份验证。系统管理员可能难以检测到此漏洞。即使检测到，也可能难以修复，因此管理员可能会被迫完全禁用该产品。有两种主要变体：
1.在入站变体中，将创建一个默认管理帐户，并将简单密码硬编码到产品中并与该帐户关联。此硬编码密码对于产品的每次安装都是相同的，如果不手动修改程序或以其他方式修补软件，系统管理员通常无法更改或禁用它。如果密码被发现或发布（互联网上很常见），那么任何知道这个密码的人都可以访问该产品。最后，由于该软件的所有安装都将具有相同的密码，即使在不同的组织中也是如此，因此可以发生诸如蠕虫之类的大规模攻击。
2.出站变体适用于使用后端服务进行身份验证的前端系统。后端服务可能需要一个可以轻松发现的固定密码。程序员可以简单地将这些后端凭据硬编码到前端软件中。该程序的任何用户都可以提取密码。具有硬编码密码的客户端系统构成了更大的威胁，因为从二进制文件中提取密码通常非常简单。","下面的代码使用硬编码的密码连接到数据库：
DriverManager.getConnection(url, ""scott"", ""tiger"");
这是连接客户端上的外部硬编码密码的示例。此代码将成功运行，但有权访问它的任何人都可以访问密码。程序发布后，除非对程序进行修补，否则不会从数据库用户“scott”返回密码“tiger”。有权访问此信息的狡猾员工可以使用它来闯入系统。更糟糕的是，如果攻击者可以访问应用程序的字节码，他们可以使用javap -c命令访问反汇编的代码，该代码将包含所用密码的值。对于上面的示例，此操作的结果可能如下所示：

javap -c ConnMngr.class
22: ldc #36; //String jdbc:mysql://ixne.com/rxsql
24: ldc #38; //String scott
26: ldc #17; //String tiger","1.对于出站身份验证：将代码外部的密码、密钥和其他凭据存储在受强保护的加密配置文件或数据库中，该文件或数据库受所有外部人员（包括同一系统上的其他本地用户）的访问。正确保护密钥 （CWE-320）。如果无法使用加密来保护文件，请确保权限尽可能严格 [REF-7]。在 Windows 环境中，加密文件系统 （EFS） 可能会提供一些保护。
2.对于入站身份验证：使用“首次登录”模式（要求用户输入唯一的强密码或密钥），而不是在首次登录时使用默认用户名和密码、密钥或其他身份验证凭据进行硬编码。
3.如果软件必须包含硬编码凭据或无法删除这些凭据，请执行访问控制检查并限制哪些实体可以访问需要硬编码凭据的功能。例如，某项功能可能只能通过系统控制台启用，而不是通过网络连接启用。
4.对于使用密码的入站身份验证：将强单向哈希应用于密码，并将这些哈希存储在具有适当访问控制的配置文件或数据库中。这样，文件/数据库的盗窃仍然需要攻击者尝试破解密码。在身份验证期间处理传入密码时，请获取密码的哈希值并将其与保存的哈希值进行比较。对生成的每个单独哈希使用随机分配的盐。这增加了攻击者进行暴力攻击所需的计算量，可能会限制彩虹表方法的有效性。"
cwe119,对超出界限的内存访问限制不当,中危,"软件对内存缓冲区执行操作，但它可以读取或写入缓冲区预期边界之外的内存位置。
某些语言允许对内存位置进行直接寻址，并且不会自动确保这些位置对被引用的内存缓冲区有效。这可能导致在可能与其他变量、数据结构或内部程序数据关联的内存位置上执行读取或写入操作。

因此，攻击者可能能够执行任意代码、更改预期的控制流、读取敏感信息或导致系统崩溃。","此示例从用户处获取 IP 地址，验证其格式是否正确，然后查找主机名并将其复制到缓冲区中。(C)
void host_lookup(char user_supplied_addr){
struct hostent hp;
in_addr_t addr;
char hostname[64];
in_addr_t inet_addr(const char cp);

/routine that ensures user_supplied_addr is in the right format for conversion /
validate_addr_form(user_supplied_addr);
addr = inet_addr(user_supplied_addr);
hp = gethostbyaddr( addr, sizeof(struct in_addr), AF_INET);
strcpy(hostname, hp->h_name);
}
此函数分配 64 字节的缓冲区来存储主机名，但不能保证主机名不会大于 64 字节。如果攻击者指定的地址解析为非常大的主机名，那么我们可能会覆盖敏感数据，甚至将控制流交给攻击者。
此示例还包含一个未经检查的返回值 （CWE-252），该值可能导致 NULL 指针取消引用 （CWE-476）。","1.使用语言不允许发生此弱点，或提供使此弱点更容易避免的构造。例如，许多执行自己的内存管理的语言（如 Java 和 Perl）都不会受到缓冲区溢出的影响。其他语言（如 Ada 和 C#）通常提供溢出保护，但程序员可以禁用该保护。请注意，即使语言本身在理论上是安全的，语言与本机代码的接口仍可能被溢出。
2.使用不允许发生此弱点的经过审查的库或框架，或者提供使此弱点更容易避免的构造。
3.使用自动提供保护机制的功能或扩展来运行或编译软件，以缓解或消除缓冲区溢出。

"
cwe862,缺少授权,高危,"当参与者尝试访问资源或执行操作时，软件不会执行授权检查。
假设用户具有给定标识，则授权是根据用户的权限以及适用于该资源的任何权限或其他访问控制规范来确定该用户是否可以访问给定资源的过程。
如果未应用访问控制检查，则用户能够访问数据或执行不应允许他们执行的操作。这可能会导致各种各样的问题，包括信息泄露、拒绝服务和任意代码执行。","此函数对给定数据库运行任意 SQL 查询，并返回查询结果。（PHP）
function runEmployeeQuery($dbName, $name){
mysql_select_db($dbName,$globalDbHandle) or die(""Could not open Database"".$dbName);
//Use a prepared statement to avoid CWE-89
$preparedStatement = $globalDbHandle->prepare('SELECT * FROM employees WHERE name = :name');
$preparedStatement->execute(array(':name' => $name));
return $preparedStatement->fetchAll();
}
/.../

$employeeRecord = runEmployeeQuery('EmployeeDB',$_GET['EmployeeName']);
虽然此代码小心翼翼地避免 SQL 注入，但该函数不会确认发送查询的用户是否有权这样做。攻击者可能能够从数据库中获取敏感的员工信息。","1.将软件划分为匿名、普通、特权和管理区域。通过仔细地将角色与数据和功能对应起来减少攻击面。使用基于角色的访问控制 （RBAC）在适当的边界强制实施角色。请注意，此方法可能无法防止水平授权，即它不会保护用户免受具有相同角色的其他人的攻击。
2.确保执行与业务逻辑相关的访问控制检查。这些检查可能与应用于更通用的资源（如文件、连接、进程、内存和数据库记录）的访问控制检查不同。例如，数据库可能将医疗记录的访问限制为特定的数据库用户，但每个记录可能仅供患者和患者的医生访问。
3.使用不允许发生此弱点的经过审查的库或框架，或者提供使此弱点更容易避免的构造。例如，考虑使用授权框架，如 JAAS 授权框架和 OWASP ESAPI 访问控制功能。
"
cwe276,默认权限不正确,中危,软件在安装时会为对象设置不正确的权限，该对象会将其暴露给意外的参与者。,,"1.非常仔细地管理权限的设置、管理和处理。显式管理软件中的信任区域。
2.划分系统，使其具有可以明确划定信任边界的“安全”区域。不要允许敏感数据超出信任边界，在与安全区域外的隔间连接时始终要小心。确保在系统设计中内置适当的划分，并确保划分用于允许并进一步加强权限分离功能。架构师和设计人员应依靠最小特权原则来决定何时适合使用和删除系统特权。"
cwe200,将敏感信息暴露给未经授权的参与者,中危,指有意或无意地向未明确授权访问该信息的行为者披露信息。许多信息泄露是结果（例如.PHP脚本错误揭示了程序的完整路径），但它们也可能是主要的（例如，密码学中的时序差异）。有许多不同类型的问题涉及信息泄露。它们的严重性可能很大，具体取决于所揭示的信息类型。,"以下代码检查提供的用户名和密码的有效性，并通知用户登录成功或失败。
my $username=param('username');
my $password=param('password');

if (IsValidUsername($username) == 1)
{
if (IsValidPassword($username, $password) == 1)
{
print ""Login Successful"";
}
else
{
print ""Login Failed - incorrect password"";
}
}
else
{
print ""Login Failed - unknown username"";
}
在上面的代码中，当提供不正确的用户名时，与当用户名正确但密码错误时，有不同的消息。这种差异使潜在攻击者能够了解登录函数的状态，并可能允许攻击者通过尝试不同的值来发现有效的用户名，直到返回不正确的密码消息。从本质上讲，这使得攻击者更容易获得一半的必要身份验证凭据。
虽然此类信息可能对用户有帮助，但对潜在攻击者也很有用。在上面的示例中，两种失败情况的消息应相同，例如：
""Login Failed - incorrect username or password""",特权分离：划分系统，使其具有可以明确划定信任边界的“安全”区域。不要允许敏感数据超出信任边界，在与安全区域外的隔间连接时始终要小心。确保在系统设计中内置适当的划分，并确保划分用于允许并进一步加强权限分离功能。架构师和设计人员应依靠最小特权原则来决定何时适合使用和删除系统特权。
cwe522,不充分的凭证保护机制,中危,当应用程序传输或存储身份验证凭据并使用容易受到未经授权的拦截和/或检索的不安全方法时，会产生此漏洞。,"此代码更改用户的密码。（PHP）
$user = $_GET['user'];
$pass = $_GET['pass'];
$checkpass = $_GET['checkpass'];
if ($pass == $checkpass) {
SetUserPassword($user, $pass);
}
虽然代码确认请求用户键入了相同的新密码两次，但它不确认请求更改密码的用户是将更改其密码的同一用户。攻击者可以请求更改其他用户的密码并控制受害者的帐户。","1.使用适当的安全机制来保护凭据。
2.适当使用加密来保护凭据。
3.使用行业标准来保护凭据（例如 LDAP、密钥库等）。"
cwe732,关键资源的权限分配不正确,高危,软件指定安全关键资源的权限的方式允许非预期的参与者读取或修改该资源。当为资源提供对比所需范围更广泛的参与者的访问权限的权限设置时，可能会导致敏感信息泄露或非预期方修改该资源。当资源与程序配置、执行或敏感用户数据相关时，这尤其危险。,"下面的代码将进程的掩码设置为 0，然后再创建文件并将“Hello world”写入该文件。（C语言）
#define OUTFILE ""hello.out""

umask(0);
FILE out;
/ Ignore CWE-59 (link following) for brevity */

out = fopen(OUTFILE, ""w"");
if (out) {
fprintf(out, ""hello world!\n"");
fclose(out);
}
在 UNIX 系统上运行此程序后，运行“ls -l”命令可能会返回以下输出：
-rw-rw-rw- 1 username 13 Nov 24 17:58 hello.out
“rw-rw-rw-”字符串指示所有者、组和世界（所有用户）可以读取文件并写入该文件。","1.使用关键资源（如配置文件）时，请检查该资源是否具有不安全的权限（例如，任何普通用户都可以修改），如果资源可能已被未经授权的一方修改，则生成错误甚至退出软件。
2.将软件划分为匿名、普通、特权和管理区域。通过仔细定义不同的用户组、权限和/或角色来减少攻击面。将这些内容与数据、功能和相关资源进行映射。然后相应地设置权限。这将使您能够对资源保持更细粒度的控制。
3.在“jail”或类似的沙盒环境中运行代码，该环境在进程和操作系统之间强制实施严格的边界。这可以有效地限制哪些文件可以在特定目录中访问，或者哪些命令可以由软件执行。
4.在程序启动期间，将默认权限或掩码显式设置为最严格的设置。还要在程序安装过程中设置适当的权限。这将防止您从安装或运行该程序的任何用户那里继承不安全的权限。
5.对于所有配置文件、可执行文件和库，请确保它们只能由软件管理员读取和写入。
6.对于在客户端执行的任何安全检查，请确保在服务器端重复这些检查。攻击者可以通过在执行检查后修改值或更改客户端以完全删除客户端检查来绕过客户端检查。然后，这些修改后的值将提交到服务器。"
cwe611,XML外部实体引用的不恰当限制（XXE）,中危,"软件处理可能包含 XML 实体的 XML 文档，这些 XML 实体具有 URI，这些 URI 解析为预期控制范围之外的文档，从而导致产品将不正确的文档嵌入到其输出中。
XML 文档可以选择性地包含文档类型定义 （DTD），除其他功能外，该定义还支持 XML 实体的定义。可以通过以 URI 的形式提供替换字符串来定义实体。XML 分析器可以访问此 URI 的内容，并将这些内容嵌入回 XML 文档中以进行进一步处理。
通过提交定义具有 file:// URI 的外部实体的 XML 文件，攻击者可以使处理应用程序读取本地文件的内容。例如，诸如“file:///c:/winnt/win.ini”之类的 URI 指定（在 Windows 中）文件 C：\Winnt\win.ini，或者 file:///etc/passwd 指定基于 Unix 的系统中的密码文件。将 URI 与其他方案（如 http://）结合使用，攻击者可以强制应用程序向攻击者无法直接访问的服务器发出传出请求，这可用于绕过防火墙限制或隐藏端口扫描等攻击源。
读取 URI 的内容后，会将其反馈到正在处理 XML 的应用程序中。此应用程序可以回显数据（例如在错误消息中），从而公开文件内容。",,"1.可以将许多 XML 分析器和验证程序配置为禁用外部实体扩展。

2.使?语?中推荐的禁?外部实体的?法
PHP：
libxml_disable_entity_loader(true);
Java:
DocumentBuilderFactory dbf =DocumentBuilderFactory.newInstance();
dbf.setExpandEntityReferences(false);
Python:
from lxml import etree
xmlData = etree.parse(xmlSource,etree.XMLParser(resolve_entities=False)
3.?动?名单过滤
过滤XML中的相关关键词，?如：<!DOCTYPE、<!ENTITY SYSTEM、PUBLIC等。
"
cwe918,服务器端请求伪造（SSRF）,中危,服务端请求伪造攻击(Server-side Request Forgery):很多web应?都提供了从其他的服务器上获取数据的功能。?如获取图?、下载?件、读取?件内容等。SSRF漏洞是?种由攻击者构造形成由服务端发起请求的?个安全漏洞。?般情况下，SSRF攻击的?标是从外??法访问的内部系统。正是因为它是由服务端发起的，所以它能够请求到与它相连?与外?隔离的内部系统。即：利??个可以发起?络请求的服务，当作跳板来攻击其他服务。,"SSRF场景应?场景为任意可以发起?络请求的地?，?如：
· 下载图?、下载?件等下载处；
· ?件预览、图?预览等获取图?、?件内容处；
· 在线识图，在线?档翻译，分享，订阅等；
· 根据远程URL上传，静态资源图?等；
· 数据库的内置功能，?如mongodb的copyDatabase函数；
· URL关键字中，?如：source，share，link，src，imageurl，target等
","1.解析?标URL:获取scheme、host（推荐使?系统内置函数完成,避免??使?正则提取）
2.校验scheme:检查 scheme 是否为合法 (如?特殊需求请只允许 http 和 https) 
3. 获取解析IP:解析 host 获取 dns 解析后的 IP 地址
4 .检测IP是否合法：检查解析后的IP地址是否为外?地址或者合法IP"
cwe77,在命令中使用的特殊元素转义处理不恰当（命令注入）,高危,软件使用来自上游组件的受外部影响的输入来构造全部或者部分命令，但它不会中和或错误地中和特殊元素，这些元素在发送到下游组件时可能会修改预期命令。,"此代码在每次收到新连接时分配一个套接字和分叉。（C）
sock=socket(AF_INET, SOCK_STREAM, 0);
while (1) {
newsock=accept(sock, ...);
printf(""A connection has been accepted\n"");
pid = fork();
}
该程序不跟踪已建立的连接数，也不限制连接数。由于分叉是一项相对昂贵的操作，因此攻击者可以通过建立大量连接来导致系统耗尽 CPU、进程或内存。或者，攻击者可以使用所有可用的连接，从而阻止其他人远程访问系统。
","1.使用库调用而不是外部进程来重新创建所需的功能。
2.请确保从程序调用的所有外部命令都是静态创建的。
3.运行时策略实施可以以白名单方式使用，以防止使用任何未批准的命令。
4.假设所有输入都是恶意的。使用“接受已知良好”的输入验证策略，即使用严格符合规范的可接受输入的白名单。拒绝任何不完全符合规范的输入，或将其转换为符合规范的内容。执行输入验证时，请考虑所有可能相关的属性，包括长度、输入类型、可接受值的完整范围、缺失或额外的输入、语法、相关字段之间的一致性以及是否符合业务规则。作为业务规则逻辑的一个示例，“boat”在语法上可能是有效的，因为它只包含字母数字字符，但如果输入只期望包含“红色”或“蓝色”等颜色，则它无效。不要完全依赖查找恶意或格式错误的输入（即，不要依赖黑名单）。黑名单可能会错过至少一个不需要的输入，尤其是在代码的环境发生变化时。这可以为攻击者提供足够的空间来绕过预期的验证。但是，黑名单可用于检测潜在攻击或确定哪些输入的格式非常错误，应将其彻底拒绝。"
cwe295,不正确的证书验证,高危,软件不验证或错误地验证证书。当证书无效或恶意时，它可能允许攻击者通过使用中间人 （MITM） 攻击来欺骗受信任的实体。该软件可能会连接到恶意主机，同时认为它是受信任的主机，或者该软件可能会被欺骗接受看似来自受信任主机的欺骗性数据。,"此代码检查已连接对等体的证书。
if ((cert = SSL_get_peer_certificate(ssl)) && host)
foo=SSL_get_verify_result(ssl);

if ((X509_V_OK==foo) || X509_V_ERR_SELF_SIGNED_CERT_IN_CHAIN==foo))

// certificate looks good, host can be trusted
在这种情况下，由于证书是自签名的，因此没有外部颁发机构可以证明主机的身份。该程序可能与欺骗主机的其他系统进行通信，例如，通过毒害DNS缓存或进行中间人攻击。","1.应仔细管理和检查证书，以确保使用预期所有者的公钥对数据进行加密。
2.如果使用证书固定，请确保在固定证书之前完全验证证书的所有相关属性，包括主机名。"
cwe400,未加控制的资源消耗（资源穷尽）,低危,软件不能正确控制有限资源的分配和维护，从而使参与者能够影响消耗的资源量，最终导致可用资源的耗尽。有限的资源包括内存、文件系统存储、数据库连接池条目和 CPU。如果攻击者可以触发这些有限资源的分配，但无法控制资源的数量或大小，则攻击者可能导致消耗所有可用资源的拒绝服务。这将阻止有效用户访问该软件，并且可能会对周围环境产生影响。例如，针对应用程序的内存耗尽攻击可能会降低应用程序及其主机操作系统的速度。,"此代码在每次收到新连接时分配一个套接字和分叉。
sock=socket(AF_INET, SOCK_STREAM, 0);
while (1) {
newsock=accept(sock, ...);
printf(""A connection has been accepted\n"");
pid = fork();
}
该程序不跟踪已建立的连接数，也不限制连接数。由于分叉是一项相对昂贵的操作，因此攻击者可以通过建立大量连接来导致系统耗尽 CPU、进程或内存。或者，攻击者可以使用所有可用的连接，从而阻止其他人远程访问系统。","1.将限制机制设计到系统体系结构中。最好的保护是限制未经授权的用户可能导致消耗的资源量。强大的身份验证和访问控制模型将有助于从一开始就防止此类攻击的发生。应尽可能保护登录应用程序免受 DoS 攻击。限制数据库访问（可能通过缓存结果集）有助于最大限度地减少消耗的资源。为了进一步限制 DoS 攻击的可能性，请考虑跟踪从用户收到的请求速率，并阻止超过定义的速率阈值的请求。
2.缓解资源耗尽攻击需要目标系统：这些解决方案中的第一个解决方案本身就是一个问题，因为它可能允许攻击者阻止特定有效用户使用系统。如果攻击者模拟有效用户，他们可能能够阻止用户访问有问题的服务器。第二种解决方案很难有效地建立 - 即使做得好，它也不能提供完整的解决方案。它只是使攻击需要攻击者的更多资源。
3.确保协议具有特定的规模限制。
4.确保资源分配中的所有故障都将系统置于安全状态。"
cwe94,对生成代码的控制不恰当（代码注入）,高危,"软件使用来自上游组件的受外部影响的输入来构造全部或部分代码段，但它不会中和或错误地中和可能修改预期代码段的语法或行为的特殊元素。
当软件允许用户的输入包含代码语法时，攻击者可能会以改变软件的预期控制流的方式手工制作代码。这种更改可能导致任意代码执行。
注入问题包括各种各样的问题 - 所有这些都以非常不同的方式缓解。因此，讨论这些弱点的最有效方法是注意将它们归类为注射弱点的独特特征。需要注意的最重要问题是，所有注入问题都有一个共同点 - 即，它们允许将控制平面数据注入用户控制的数据平面。这意味着可以通过不使用其他机制的合法数据通道发送代码来更改过程的执行。虽然缓冲区溢出和许多其他缺陷涉及使用一些进一步的问题来获得执行，但注入问题只需要解析数据。这类弱点的最经典实例化是SQL注入和格式字符串漏洞。","本示例尝试将用户消息写入消息文件并允许用户查看它们。（PHP）
$MessageFile = ""cwe-94/messages.out"";
if ($_GET[""action""] == ""NewMessage"") {
$name = $_GET[""name""];
$message = $_GET[""message""];
$handle = fopen($MessageFile, ""a+"");
fwrite($handle, ""<b>$name</b> says '$message'<hr>\n"");
fclose($handle);
echo ""Message Saved!<p>\n"";
}
else if ($_GET[""action""] == ""ViewMessages"") {
include($MessageFile);
}
虽然程序员希望 MessageFile 仅包含数据，但攻击者可以提供如下消息：
name=h4x0r
message=%3C?php%20system(%22/bin/ls%20-l%22);?%3E
这将解码为以下内容：
<?php system(""/bin/ls -l"");?>
程序员以为他们只是包含常规数据文件的内容，但PHP解析了它并执行了代码。现在，只要人们查看消息，就会执行此代码。XSS （CWE-79） 在这种情况下也是可能的。","1.重构程序，以便不必动态生成代码。
2.在“jail”或类似的沙盒环境中运行代码，该环境在进程和操作系统之间强制实施严格的边界。这可能会有效地限制您的软件可以执行哪些代码。例子包括Unix chroot jail和AppArmor。通常，托管代码可能会提供一些保护。这可能不是一个可行的解决方案，它只限制了对操作系统的影响;应用程序的其余部分可能仍会受到威胁。
3.使用针对此类弱点的自动静态分析工具。许多现代技术使用数据流分析来最大程度地减少误报的数量。
4.使用动态工具和技术，使用具有许多不同输入的大型测试套件与软件交互，例如模糊测试（模糊测试）、鲁棒性测试和故障注入。软件的操作可能会变慢，但不应变得不稳定、崩溃或生成不正确的结果。"
cwe269,权限管理不当,中危,软件不会正确分配、修改、跟踪或检查执行组件的权限，从而为该执行组件创建意外的控制范围。,"此代码会临时提升程序的权限，以允许创建新的用户文件夹。
def makeNewUserDir(username):
if invalidUsername(username):

#avoid CWE-22 and CWE-78
print('Usernames cannot contain invalid characters')
return False

try:
raisePrivileges()
os.mkdir('/home/' + username)
lowerPrivileges()

except OSError:
print('Unable to create new user directory for user:' + username)
return False

return True
虽然程序仅提高其权限级别以创建文件夹并立即再次降低它，但如果对 os.mkdir（） 的调用引发异常，则不会发生对 lowerPrivileges（） 的调用。因此，程序在提升的特权状态下无限期地运行，可能允许进一步利用。","1.非常仔细地管理权限的设置、管理和处理。显式管理软件中的信任区域。
2.在为软件系统中的实体分配访问权限时，请遵循最小特权原则。
3.考虑遵循特权分离原则。在允许访问系统资源之前，需要满足多个条件。"
